930 
FOUS60 KWNO 121800
OUTPUT FROM NAM 18Z DEC 12 21
TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5   TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5
PWM//402304 -5814 132819 29059889   CAR//513503 -1913 032722 20009386
06000543614 02314 182420 33039895   06000685312 00410 082418 25009691
12000613413 05610 162421 37020499   12000717007 02305 072317 27009692
18000653749 07309 172517 40020400   18000824609 01608 102618 28009794
24000596215 04711 172515 40050400   24000805612 01108 112613 30019695
30000563423 04115 162518 43050300   30000929004 01004 112213 29009894
36000652028 06314 172819 44030000   36000857303 00105 092818 23019790
42000672933 01020 263118 38029695   42000683203 -0317 223125 12958883
48000421930 -5623 323315 33019493   48000593004 -3416 283120 09958882
BGR//462503 -7814 092715 27039688   CON//432305 -5915 152916 29049789
06000464014 00114 142417 30029893   06000523410 -1113 192517 34029896
12000674011 06609 132317 34000297   12000572713 03311 182517 39020299
18000724839 07009 152414 36009899   18000604941 01611 192615 41020400
24000726512 05207 152308 36020099   24000514417 01313 182614 42060400
30000734914 07811 142312 37030098   30000512830 -1614 182516 45040300
36000773215 04715 142817 36029798   36000631934 -4015 192918 46030100
42000631913 -3822 223120 30019592   42000722639 -2719 283220 40019697
48000421816 -7324 303215 24999188   48000512532 -1821 333312 36019795
AFA//533702 -7816 952637 22009388   9B6//442118 02314 123025 33069992
06000603806 -8513 022633 22009487   06000452811 -2612 182728 32069993
12000757712 -2507 032523 25009791   12000574009 -1111 182532 36060098
18000854205 -3908 052624 25009792   18000642940 -4412 182632 40070400
24000773413 -3810 072726 25019694   24000696018 -0812 182625 40070400
30000756616 01609 082615 26019694   30000663419 -1314 172629 43080200
36002988409 04705 072511 21009689   36000642329 -1714 152734 44070300
42002605404 04108 133124 11999183   42000702343 -1018 233134 40059997
48000514709 02212 193130 06978982   48000572035 -6222 303429 34029593
